,Degree,Closeness Centrality,Betweenness Centrality,Eccentricity,Page Rank,Eigen Value Centrality,Death
Bloodbeard,6,0.003322259,0,7,0.000392266,0.000736018,0
Blue-Bard,4,0.003311258,0,7,0.000535667,0.008528872,0
Bonifer-Hasty,1,0.002358491,0,7,0.000231327,0.002367691,0
Boros-Blount,4,0.00255102,0.333333333,7,0.00155227,0.077473706,0
Bowen-Marsh,1,0.002531646,0,6,0.00243935,0.036009715,1
Bran-Stark,1,0.002531646,0,5,0.016720324,0.333355189,0
Brandon-Norrey,1,0.002531646,0,6,0.000597484,0.001397079,0
Brandon-Stark,1,0.002531646,0,6,0.000812566,0.026176052,1
Brea,1,0.002358491,0,7,0.000547601,0.002052427,0
Brella,1,0.002358491,0,7,0.000300826,0.006472058,0
Brenett,1,0.003067485,0,7,0.000220023,0.001356075,0
Brienne-of-Tarth,2,0.002840909,0,6,0.007373233,0.157677141,0
Bronn,7,0.003546099,6.10676519,6,0.003625629,0.195192682,0
Brus-Buckler,3,0.003154574,0,7,0.000496164,0.00024119,0
Bryce-Caron,1,0.003067485,0,6,0.000778986,0.00350596,0
Brynden-Rivers,5,0.003125,1.466666667,6,0.00034614,0.005064557,0
Brynden-Tully,2,0.003076923,0,6,0.002301441,0.058049579,1
Bump,1,0.002604167,0,7,0.000343224,2.09E-05,0
Butterbumps,2,0.003215434,0,7,0.000289102,0.004663855,0
Byam-Flint,3,0.003246753,0,7,0.000224238,9.79E-05,0
Caggo,2,0.003225806,0,8,0.000834508,7.72E-05,0
Caleotte,3,0.003289474,0,7,0.000533772,0.000870996,0
Camarron,1,0.00310559,0,8,0.000278577,1.08E-06,0
Captain-Myraham,2,0.003215434,0,7,0.000248605,0.000532422,0
Captain-Myraham-Daughter,1,0.003205128,0,7,0.000233564,0.000399317,0
Catelyn-Stark,5,0.003676471,25.72425801,6,0.015232918,0.431135765,1
Cayn,4,0.003703704,0,7,0.00081474,0.006491352,0
Cedra,3,0.003236246,0,8,0.00041059,3.27E-05,0
Cedric-Payne,1,0.002469136,0,8,0.001100033,0.000190612,0
Cellador,19,0.004587156,443.0135843,6,0.002095285,0.001823055,0
Cersei-Lannister,6,0.003831418,3.495468214,6,0.000255738,0.942788412,0
Chataya,4,0.002695418,105,7,0.000220606,0.010484517,0
Chayle,6,0.003194888,3.389760739,6,0.005212162,0.001067251,0
Chella,14,0.003968254,350.6873758,7,0.000587243,0.010331806,0
Chett,7,0.003663004,8.556744846,6,0.00446216,0.007643015,0
Chiggen,4,0.003257329,0.583333333,7,0.000215347,0.006905242,0
Chiswyck,8,0.003546099,26.30650391,7,0.002869167,0.012012557,0
Clayton-Suggs,18,0.004166667,272.161237,6,0.00110902,0.002609392,0
Clement-Piper,20,0.0041841,148.843899,7,0.001518524,0.00178721,0
Cleon,5,0.003134796,105,7,0.000547523,0.001160445,0
Cleos-Frey,4,0.00255102,0.333333333,6,0.000332519,0.052156042,1
Cletus-Yronwood,14,0.003448276,874.8372111,7,0.000452308,0.000337219,0
Cley-Cerwyn,5,0.003134796,312,6,0.000245548,0.002088948,0
Clubfoot-Karl,12,0.004347826,107.6349826,7,0.000741937,0.000691987,1
Clydas,3,0.00310559,0,6,0.000756021,0.019696446,0
Cohollo,8,0.003496503,35.15540317,7,0.000257157,0.000785947,0
Coldhands,4,0.003144654,0,6,0.000494908,0.004133757,0
Colemon,4,0.003125,0,7,0.001729903,0.003953812,0
Colen-of-Greenpools,12,0.003802281,32.7217293,7,0.001929448,0.003654455,0
Conn,4,0.003194888,12.20809267,7,0.000539317,0.00662271,0
Corliss-Penny,3,0.002967359,1.35025641,6,0.000648561,0.001254069,0
Cortnay-Penrose,4,0.00255102,1,6,0.000501595,0.013200865,0
Cotter-Pyke,24,0.004524887,556.1852523,6,0.000716319,0.011146598,0
Craster,6,0.003731343,131.1036732,6,0.00043193,0.031130564,1
Creighton-Longbough,18,0.004149378,141.5407634,7,0.000413608,0.001351139,0
Cressen,4,0.00295858,2.261904762,6,0.001229904,0.01525821,1
Cromm,26,0.004524887,1279.753353,8,0.000280012,4.90E-07,0
Cutjack,2,0.003257329,3.20799062,7,0.000589354,0.000136214,0
Daario-Naharis,6,0.002717391,12.96584412,7,0.0008306,0.009330425,0
Dacey-Mormont,6,0.003584229,106.9588272,6,0.001296439,0.00371823,0
Daemon-Sand,9,0.003676471,21.0398865,7,0.001146709,0.000324177,0
Daenerys-Targaryen,5,0.003164557,3.673192663,6,0.000916235,0.082890938,0
Daeron-I-Targaryen,2,0.002808989,0,7,0.000432125,3.16E-05,1
Dagmer,10,0.003703704,84.67234484,7,0.001859237,0.00137427,0
Dalbridge,12,0.003378378,40.49072503,6,0.003806192,0.00209314,0
Dalla,5,0.003194888,11.08691003,6,0.001044808,0.007090689,0
Damon-Dance-for-Me,4,0.003460208,47.90724047,7,0.000703672,0.000903849,0
Danwell-Frey,7,0.003412969,1.441374269,7,0.000214777,0.000164064,1
Dareon,2,0.002538071,0,6,0.000520339,0.009801428,0
Daryn-Hornwood,4,0.003508772,3.470318304,7,0.000221467,0.002345742,0
Daven-Lannister,7,0.003333333,108.9634921,7,0.001308197,0.007308638,0
Davos-Seaworth,5,0.003558719,4.651775284,6,0.001054806,0.078808502,0
Denyo-Terys,4,0.003095975,0,7,0.000235274,0.003238572,0
Denys-Mallister,8,0.003921569,23.52841297,6,0.01857171,0.005534242,0
Denzo-Dhan,6,0.003355705,40.69501861,8,0.001187249,2.08E-06,0
Desmond,2,0.003115265,0,7,0.005611278,0.004317386,0
Desmond-Grell,6,0.003571429,4.244047619,6,0.000231146,0.006669644,0
Devan-Seaworth,25,0.004608295,706.5572832,6,0.000578963,0.017330621,0
Dick-Crabb,18,0.004716981,1165.602517,7,0.001523918,0.00676163,0
Dick-Follard,3,0.003246753,0,6,0.000255395,0.00151831,0
Dick-Straw,4,0.003378378,1.46337185,8,0.00025028,2.06E-06,0
Dirk,15,0.003623188,179.5971781,7,0.000538829,0.000857372,0
Dolf,13,0.003937008,78.81308256,8,0.00031666,0.000368686,0
Donal-Noye,26,0.004807692,705.1985624,6,0.000618048,0.025723739,1
Donella-Hornwood,5,0.003508772,6.96957758,6,0.000466959,0.002949433,0
Dontos-Hollard,1,0.002358491,0,6,0.002935212,0.068994407,1
Doran-Martell,14,0.004524887,571.5247305,6,0.001197025,0.027324346,1
Dorcas,5,0.00330033,3.886829837,7,0.000373823,0.019267049,0
Doreah,36,0.004830918,1101.384972,7,0.000785863,0.002099518,1
Draqaz,22,0.004424779,364.7212196,8,0.006068826,8.28E-07,0
Drennan,4,0.003521127,32.8242342,7,0.000235553,0.000400586,0
Drogo,7,0.003355705,5.060887723,6,0.000243754,0.016355891,1
Dryn,3,0.003508772,87.06103763,7,0.000397176,0.000119437,0
Dunsen,8,0.003484321,18.21525448,7,0.000602638,0.038375826,0
Dunstan-Drumm,1,0.003067485,0,8,0.002068712,2.10E-05,0
